Area,Category - Split 1,Name,Price,Hidden Gem,Star,Stars count,Address,Latitude,Longitude
,Pizza,"Chicago’s Pizza With A Twist Lynnwood, WA",n/a,Other,3.5,72,,,
Bitter Lake,Fast Food,Chick-fil-A,n/a,Other,3,86,"12801 Aurora Ave N, Seattle, WA 98133",,
,Fast Food,Chick-fil-A,$,Other,4,475,"32025 Pacific Hwy S, Federal Way, WA 98003",,
,Fast Food,Chili Fries,n/a,Other,4,5,,,
,Szechuan,China Cafe,$$,Other,3.5,135,,,
,Mexican,Chipotle Mexican Grill,$,Other,3,147,,,
,Korean,Cho Dang Tofu Restaurant,$$,Other,4,241,"17424 Hwy 99, Ste 107, Lynnwood, WA 98037",47.8408323,-122.3000003
,Thai,CHOKE DEE Thai Street,n/a,Hidden Gem,4.5,54,"27237 172nd Ave SE, Ste 115, Covington, WA 98042",47.3572693,-122.1128006
,Chinese,Chopsticks,$$,Other,3.5,180,"21030 108th Ave SE, Kent, WA 98031",47.4136333,-122.1962186
Chinatown,Korean,ChungChun Rice Hot Dog,$,Other,4.5,400,"502 S King St, Seattle, WA 98104",47.5985353,-122.3274497
,Mexican,Cielo Cocina Mexicana,$$,Other,4,177,"958 111th Ave NE, Ste 101, Bellevue, WA 98004",47.6184044,-122.1917823
Denny Triangle,Italian,Cinque Terre Ristorante,$$,Other,4,426,"2001 Westlake Ave, Seattle, WA 98121",47.6149969,-122.3381287
,Chinese,CIRCLE CHINESE CUISINE,n/a,Hidden Gem,4.5,8,"1734 Central Ave S, Kent, WA 98032",47.3635628,-122.2290464
Lower Queen Anne,Creperies,Citizen,$$,Other,4,1029,"706 Taylor Ave N, Seattle, WA 98109",47.6256988,-122.3459756
Georgetown,Tapas/Small Plates,Ciudad,$$,Other,4.5,338,"6118 12th Ave S, Seattle, WA 98108",47.5481486,-122.3169373
,American,Claim Jumper Steakhouse & Bar,$$,Other,3,578,"18725 33rd Ave W, Lynnwood, WA 98037",47.8281106,-122.2715012
,Breakfast & Brunch,Claire’s Restaurant,$$,Other,3,170,,,
,Sports Bars,Cock & Bull,$$,Other,3.5,45,,,
,Korean,Cockatoo’s Chicken Restaurant,$$,Other,4,117,,,
Central District,Soul Food,COMMUNION Restaurant and Bar,n/a,Hidden Gem,4.5,77,"2350 E Union St, Seattle, WA 98122",47.6131325,-122.3016565
,Italian,Como,$$,Other,3.5,191,"1270 Carillon Point, Kirkland, WA 98033",47.6567947,-122.2075979
SoDo,Chicken Shop,Cookie’s Country Chicken,$$,Hidden Gem,4.5,69,,,
Ballard,American,Copine,$$$,Other,4.5,200,"6460 24th Ave NW, Seattle, WA 98107",47.6756873,-122.3872603
,American,Copperleaf Restaurant,$$$,Other,4,288,"18525 36th Ave S, SeaTac, WA 98188",47.4369803,-122.2879358
Downtown,Italian,Cortina,$$$,Other,4,178,"621 Union St, Seattle, WA 98101",47.610257,-122.3328019
,Beer Bar,Cosmic Bottles,n/a,Hidden Gem,4.5,18,"27116 167th Pl SE, Ste 108, Covington, WA 98042",47.3586211,-122.1173745
Bitter Lake,Fast Food,Country Fried Chicken,n/a,Other,2.5,6,,,
,Seafood,Crab Season,n/a,Hidden Gem,4.5,79,"3303 156th Ave SE, Bellevue, WA 98007",47.5809685,-122.1371365
,Cajun/Creole,Crawfish House,$$,Other,4,777,"9826 16th Ave SW, Seattle, WA 98106",47.5147551,-122.3549144
,Vietnamese,Crazy Pho Cajun,$$,Other,3.5,331,"32034 23rd Ave S, Federal Way, WA 98003",,
,Cajun/Creole,CreoleSoul,$$,Hidden Gem,5,5,"22341 Marine View Dr S, Des Moines, WA 98198",47.4006139,-122.3248354
,Creperies,Creperie de Paris,$,Other,4,128,,,
,American,Crockett’s Public House,$$,Other,3.5,228,,,
,Breakfast & Brunch,Crystal Creek Cafe,$$,Other,4,394,,,
,Food Trucks,Cubanos On Wheels,n/a,Other,3,3,"1045 320th St, Federal Way, WA 98003",,
,Indian,Curry & Kabab,$$,Other,4,221,,,
,Pizza,Curry In A Hurry Pizza,n/a,Other,3.5,11,"84 63 S 212th St, Kent, WA 98031",47.4121545,-122.334558
Capitol Hill,Mexican,D’ La Santa,$$,Other,4.5,314,,,
Capitol Hill,Modern European,Dacha Diner,$$,Hidden Gem,4.5,98,"1416 E Olive Way, Seattle, WA 98122",47.6176003,-122.3265927
,Korean,DaeBak Wang Mandoo,$,Other,4.5,204,"33100 Pacific Hwy S, Ste 5, Federal Way, WA 98003",,
,Indian,Dakshin South Indian Bistro,$$,Other,4,349,,,
Pioneer Square,Cocktail Bars,Damn the Weather,$$,Other,4,468,"116 1st Ave S, Seattle, WA 98104",47.6010757,-122.3337252
,Szechuan,Dan Gui Sichuan Cuisine,$$,Other,3.5,53,"13112 NE 20th St, Ste 300, Bellevue, WA 98005",47.62881,-122.1654965
South Lake Union,Steakhouses,Daniel’s Broiler,$$$$,Other,3.5,860,,,
,American,Daphnes,$$,Other,4.5,154,"415 1/2 Main St, Edmonds, WA 98020",47.810897,-122.377717
,American,Dave & Buster’s,$$,Other,2.5,619,,,
,Bars,Dave’s of Milton,$$,Other,4,116,,,
,Korean,Dawa,$$,Other,4.5,159,"18623 Hwy 99, Ste 130, Lynnwood, WA 98037",47.8301032,-122.3059897
Pioneer Square,Latin American,Dead Line,$$,Other,4.5,232,,,
,Burgers,Deja Moo,n/a,Other,4,42,,,
,Mexican,Del Taco,$,Other,3.5,172,,,
,Delis,Deluxe Office Deli,$,Other,4,12,,,
,Tapas Bars,Demetris Woodstone Taverna,$$,Other,3.5,471,,,
,Pizza,DERU Market,$$,Other,4.5,1416,"723 9th Ave, Ste D, Kirkland, WA 98033",47.681978,-122.1941924
,Indian,Desi Tadka Indian Grill,n/a,Hidden Gem,4.5,26,"304 105th Ave NE, Bellevue, WA 98004",47.6128494,-122.1997081
First Hill,Asian Fusion,Di Fiora,n/a,Other,4.5,271,"1320 University St, Ste 1, Seattle, WA 98101",47.6128683,-122.3242173
,Burgers,Diamond Knot Brewpub @ MLT,$$,Other,3.5,430,,,
,Burgers,Dick’s Drive-In,$,Other,3.5,382,,,
,Taiwanese,Din Tai Fung,$$,Other,4,4035,"700 Bellevue Way NE, Ste 280, Bellevue, WA 98004",47.6171798,-122.2005621
,Taiwanese,Din Tai Fung,$$,Other,4,1037,"181 Southcenter Mall, Tukwila, WA 98188",47.458473,-122.2608544
,International Grocery,Discount Produce and Fruit Market,$,Other,3.5,11,"24202 104th Ave SE, Kent, WA 98030",47.3848778,-122.201151
,Cocktail Bars,Dock and Drink,n/a,Other,3,45,"1053 Lake Washington Blvd N, Renton, WA 98056",47.5030379,-122.205233
,Food Trucks,Dojo Togo,n/a,Other,4,5,"6th Ave S, Edmonds, WA 98020",,
Mapleleaf,Peruvian,Don Lucho’s Restaurant & Pisco Bar,$$,Other,4.5,216,,,
,Japanese,Donburi Station - Bellevue,$$,Hidden Gem,4.5,45,"14339 NE 20th St, Ste E, Bellevue, WA 98007",47.627411,-122.149031
,Chinese,Dong Ting Chun,$$,Other,3.5,275,"22001 WA-99, Ste 400, Edmonds, WA 98026",47.7994422,-122.3311417
,Chinese,Dong Ting Chun Redmond,$$,Other,3.5,94,,,
,Shanghainese,Dough Zone,n/a,Other,,,,,
,Dim Sum,Dough Zone - Downtown Bellevue,$$,Other,4,64,"10360 Main St, Ste E, Bellevue, WA 98004",47.610357,-122.2026165
Chinatown,Shanghainese,Dough Zone - International District,$$,Other,4,1098,,,
,Dim Sum,Dough Zone - Overlake,$$,Other,4,899,,,
,Dim Sum,Dough Zone - Redmond,$$,Other,4,507,"7625 170th Ave NE, Redmond, WA 98052",47.6708838,-122.1140763
,Dim Sum,Dough Zone - Renton,n/a,Other,4,113,"800 N 10th Pl, Ste A, Renton, WA 98057",47.4979621,-122.2049623
Downtown,Shanghainese,Dough Zone - Seattle Pine St.,$$,Other,4,502,"815 Pine St, Seattle, WA 98101",47.6132108,-122.3322037
,Bars,Drumlin,n/a,Hidden Gem,5,7,"522 NE 165th St, Shoreline, WA 98155",47.7487865,-122.3228994
Wallingford,Comfort Food,Drunken Chicken,n/a,Other,4,30,"4401 Wallingford Ave N, Seattle, WA 98103",47.6604399,-122.3363705
Capitol Hill,Italian,Due’ Cucina Italiana - Capitol Hill,$$,Other,4.5,602,,,
Roosevelt,Italian,Due’ Cucina Italiana - Roosevelt,n/a,Other,4,5,,,
,Italian,Due’ Cucina Italiana - Totem Lake,$$,Other,4.5,101,,,
,Seafood,Duke’s Seafood,$$,Other,3.5,294,,,
,Seafood,Duke’s Seafood,$$$,Other,4,643,,,
,Noodles,Dumpling & Noodle,$$,Other,3.5,63,"11000 NE 10th St, Ste B, Bellevue, WA 98004",47.6194101,-122.1933179
,Chinese,Dumpling Generation - Edmonds,$$,Other,4,372,"23830 Hwy 99, Ste 115, Edmonds, WA 98026",47.782745,-122.344728
,Chinese,Dumpling Generation - Lake Forest Park,n/a,Other,3,30,,,
,Chinese,Dumpling House,$,Hidden Gem,4.5,22,"17424 Hwy 99, Ste 106, Lynnwood, WA 98037",47.8408323,-122.3000003
Wallingford,Noodles,Dumpling The Noodle,$$,Other,4.5,181,"1719 N 45th St, Seattle, WA 98103",47.6612338,-122.3364616
,American,Duvall Grill,$$,Other,4,187,,,
,Indian,East India Grill,$$,Other,4,499,,,
,Sports Bars,Eastside Beerworks,n/a,Other,4,91,,,
,Chinese,Eat Time,$$,Other,4.5,255,"14400 Ambaum Blvd SW, Burien, WA 98166",47.4735225,-122.3464142
Queen Anne,American,Eden Hill Restaurant,$$$$,Other,4.5,238,"2209 Queen Anne Ave N, Seattle, WA 98109",47.638699,-122.3572086
,Sushi Bars,Edo Sushi and Sake,n/a,Hidden Gem,4.5,59,,,
,Breakfast & Brunch,egghole,$$,Other,4,222,"229 Washington Ave N, Kent, WA 98032",47.3825754,-122.2478158
Greenlake,American,Eight Row,$$$,Other,4.5,112,,,
,Burgers,EJ Burger Kent,$,Hidden Gem,4.5,41,"19033 68th Ave S, Ste D107, Kent, WA 98032",47.4310523,-122.2498614
,Mexican,El Antojo - Lynnwood,$,Other,4,261,,,
,Mexican,El Charro Mexican Restaurant,$$,Other,3,57,"10218 SE 240th St, Kent, WA 98031",47.387645,-122.203726
,Cuban,El Cubano,$$,Hidden Gem,5,22,"19920 Aurora Ave N, Shoreline, WA 98133",47.773858,-122.3457345
,Steakhouses,El Gaucho - Bellevue,$$$$,Other,4,699,"450 108th Ave NE, Bellevue, WA 98004",47.6145766,-122.1960759
South Lake Union,Mexican,El Grito Taqueria,$$,Other,4,206,"234 Fairview Ave N, Seattle, WA 98109",47.6206708,-122.3339854
,Colombian,El Parche Colombiano Restaurant,$$,Other,4,67,"11740 15th Ave NE, Seattle, WA 98125",47.7153754,-122.3120896
Licton Springs,Latin American,El Patio,n/a,Other,4,37,,,
,Mexican,El Piketon Restaurant & Lounge,n/a,Other,3,33,"19611 84th Ave S, Kent, WA 98032",47.4258751,-122.2285292
,Mexican,El Rinconsito - Bellevue,$,Other,4,649,"2255 140th Ne Ave, Ste A, Bellevue, WA 98005",47.6305355,-122.1544918
,Mexican,El Rinconsito - Kent,$,Other,3.5,190,,,
,Mexican,El Rinconsito - Lynnwood,$,Other,4,288,,,
,Chicken Wings,El Senor Pollo De Kent,$,Hidden Gem,4.5,51,"501 Central Ave N, Kent, WA 98032",47.3851425,-122.2315364
,Mexican,El Toreador,$$,Other,4,393,,,
Olympic Hills,American,Elliott Bay Public House & Brewery,$$,Other,4,570,"12537 Lake City Way NE, Seattle, WA 98125",47.7203828,-122.2950107
Waterfront,Seafood,Elliott’s Oyster House,$$$,Other,4,3658,"1201 Alaskan Way, Pier 56, Seattle, WA 98101",47.6054427,-122.3402453
,American,Emerald Downs-Rainier Terrace,n/a,Other,,,,,
,Steakhouses,Emory’s On Silver Lake,$$$,Other,4,608,,,
,Dim Sum,Engimono Ramen & Dim Sum,$$,Other,4,75,,,
,Mediterranean,Epulo Bistro,$$,Other,4,410,"190 Sunset Ave, Ste B, Edmonds, WA 98020",47.8101842,-122.3842406
,Breakfast & Brunch,Eques,$$,Other,4,281,,,
,Meat Shops,Euro Deli Lakomka,$$,Hidden Gem,4.5,13,,,
,Modern European,Europa,$$,Other,4.5,205,"29030 216th Ave SE, Black Diamond, WA 98022",47.3412193,-122.0535357
Fremont,American,Eve Fremont,$$,Other,4,277,"704 N 34th St, Seattle, WA 98103",47.6496602,-122.3492494
,Korean,Exit 5 Korean BBQ,$$,Other,4,293,"911 N 10th Pl, Ste D, Renton, WA 98057",47.4983708,-122.2031067
,Southern,Ezell’s Famous Chicken,$$,Other,3.5,259,,,
,Southern,Ezell’s Famous Chicken,$,Other,3,242,,,
,Chinese,Facing East,$$,Other,4,1921,"1075 Bellevue Way NE, Ste B-2, Bellevue, WA 98004",47.6197239,-122.2027941
,Burgers,Family Drive-In,$,Other,3.5,120,"1124 W Meeker St, Kent, WA 98032",47.3811449,-122.246317
,American,Family Pancake House - Redmond,$$,Other,3.5,294,,,
Northgate,Food Delivery Services,Famous Dave’s Bar-B-Que,n/a,Other,3.5,14,,,
,Barbeque,Famous Kitchen,$$,Other,4,74,"1802 12th Ave NW, Ste C, Issaquah, WA 98027",47.5503695,-122.0563509
,Cafes,Fan Tang - Southcenter,n/a,Other,4,2,"360 Corporate Dr N, Tukwila, WA 98188",47.4513085,-122.2565939
,Chinese,Fan Tang Asian Cafe,$$,Hidden Gem,4.5,49,"10615 NE 68th St, Kirkland, WA 98033",47.6657682,-122.1979206
,Noodles,Fang’s Noodle House,n/a,Hidden Gem,5,1,,,
,Bakeries,Farine Bakery & Cafe,$$,Other,4,165,,,
,Dim Sum,Fashion Dim Sum,$$,Other,4,365,"22923 Hwy 99, Edmonds, WA 98026",47.7911788,-122.337128
,Barbeque,Fat Pig BBQ,$$,Other,4.5,230,"7533 Olympic View Dr, Unit B, Edmonds, WA 98026",47.8315572,-122.3365637
Central District,Southern,Fat’s Fried Chicken & Waffles,$$,Other,4.5,631,,,
,French,Feast,$$,Other,4,84,,,
,Coffee & Tea,Feast and Foliage,n/a,Hidden Gem,5,29,"209 E Meeker St, Kent, WA 98032",47.3817951,-122.2318587
,Thai,Fern Thai on Main,$$,Other,4.5,286,"10134 Main St, Bellevue, WA 98004",47.6103938,-122.2046493
,Filipino,Fil Cuisine,$$,Other,4,411,"23843 108th Ave SE, Kent, WA 98031",47.3873567,-122.1976427
,Gift Shops,Fil-Am Oriental Food & Gifts,$$,Hidden Gem,4.5,26,"15214 Aurora Ave N, Shoreline, WA 98133",47.7395617,-122.3439376
Capitol Hill,Cafes,Finch & Pine,n/a,Hidden Gem,5,7,"711 Bellevue Ave E, Ste 100, Seattle, WA 98102",47.6256633,-122.3268147
,Italian,Fire & the Feast,n/a,Other,4,62,"526 Main St, Edmonds, WA 98020",47.8103173,-122.3764111
,Food Trucks,Fire Tacos De Birria,n/a,Hidden Gem,4.5,52,"105 W Smith St, Kent, WA 98032",47.3835123,-122.2332903
,Burgers,Firestarter Bar & Grill,$$,Other,4,136,"21008 108th Ave SE, Kent, WA 98031",47.4141183,-122.1956304
,Burgers,Five Guys,$$,Other,3,80,,,
,Seafood,Five Restaurant Bistro,$$,Other,4,404,"650 Edmonds Way, Edmonds, WA 98020",47.7945225,-122.3733054
,Thai,Five Sisters Thai Cuisine,$$,Other,4.5,157,"14252 SE 176th St, Renton, WA 98058",47.4455833,-122.1494556
,Burgers,Flame Burger Plus,$,Other,4,113,"2125 SW 356th St, Ste D, Federal Way, WA 98422",,
Greenwood,Laotian,Flavor Lao Bowl,n/a,Hidden Gem,5,44,,,
,American,Flavour Bistro,$$$,Other,4.5,130,,,
,Diners,Flo-Anna’s Diner,$$,Other,4,189,,,
Mapleleaf,Pizza,Flying Squirrel Pizza,$$,Other,4,173,"8310 5th Ave NE, Seattle, WA 98115",,
,Poke,FOB Poke Bar,$$,Hidden Gem,5,34,"333 108th Ave NE, Bellevue, WA 98004",47.6133892,-122.1970996
,Brazilian,Fogo de Chao,$$$,Other,4,913,"440 Bellevue Way NE, Bellevue, WA 98004",47.6145678,-122.2012528
Capitol Hill,Mexican,Fogón Cocina Mexicana,$$,Other,4.5,1601,"600 E Pine St, Seattle, WA 98122",47.6153845,-122.3242314
,Mediterranean,Fork Mediterranean Grill,$,Other,4.5,349,"21919 66th Ave W, Ste G, Mountlake Terrace, WA 98043",47.800085,-122.3210556
,Seafood,Fortune Seafood Restaurant,$$,Other,3.5,161,,,
,Bars,Forum Social House,$$,Other,4,61,,,
Haller Lake,Barbeque,Friendship Foods BBQ,n/a,Other,4,23,"13520 Aurora Ave N, Seattle, WA 98133",47.7275074,-122.3445992
,Szechuan,Frying Fish,$$,Other,3.5,231,,,
Greenwood,Chinese,Fu Shen,$$,Other,4,236,"9019 Aurora Ave N, Seattle, WA 98103",47.69498923,-122.344712
,Teppanyaki,Fuji Steakhouse,$$$,Other,3.5,68,,,
,Teppanyaki,Fuji Teppanyaki & Sushi,n/a,Other,4,70,"5621 196th St SW, Lynnwood, WA 98036",47.8216636,-122.3097575
,Cantonese,Furi Chinese Restaurant,$$,Other,4.5,199,,,
Denny Triangle,Italian,G.H. Pasta Co.,$$,Other,4.5,241,"2305 6th Ave, Seattle, WA 98121",47.6167552,-122.3427039
,Barbeque,Gabriel’s Fire,$$,Other,4,417,,,
Chinatown,Comfort Food,Gan Bei,n/a,Other,4,67,"670 S Weller St, Seattle, WA 98104",47.5976784,-122.3241002
,Barbeque,Gangnam Korean Restaurant,$$,Other,4,134,"19505 44th Ave W, Lynnwood, WA 98036",47.8220656,-122.2918263
,Mexican,Garcia’s Mexican Restaurant & Cantina,$$,Other,4,152,,,
,American,Gator’s Sports Bar & Grill,$$,Other,3.5,167,,,
,Chinese,Genghis Mongolian Grill,$,Other,3.5,74,,,
Broadview,Cuban,Geo’s Cuban Bar and Grill,$$,Other,4.5,166,,,
,Greek,George’s,$$,Other,3.5,338,,,
,Bagels,Gilbert’s on Main,$$,Other,4,704,,,
,Korean,Gilson Korean Restaurant,$$,Other,3.5,113,"22716 Hwy 99, Edmonds, WA 98026",,
,Pizza,Gino’s Pizza,n/a,Other,4,27,,,
,Sushi Bars,Ginza,$$,Other,3.5,745,"103 102nd Ave SE, Bellevue, WA 98004",47.6098551,-122.2043463
,Italian,Girardi’s Osteria,$$,Other,3.5,512,,,
South Lake Union,Latin American,Gold Bar,$$,Hidden Gem,4.5,87,"227 9th Ave N, Seattle, WA 98109",47.6205243,-122.3402055
,Chinese,Golden Dynasty,$$,Other,4,123,"126 Washington Ave N, Kent, WA 98032",47.3820368,-122.2461668
,Seafood,Golden Steer Steak And Rib House,$$,Other,3.5,233,"23826 104th Ave SE, Kent, WA 98031",47.3880834,-122.2017539
,Burgers,Good Burger,$$,Hidden Gem,4.5,23,"19811 Aurora Ave N, Shoreline, WA 98133",47.7728504,-122.3464108
,Vietnamese,Good PHO You,$,Other,4,359,,,
,Chinese,Grand Peking,$$,Other,3,271,"1706 S 320th St, Ste L, Federal Way, WA 98003",,
,Thai,Grandma Thai Cuisine,$$,Other,4,255,,,
Queen Anne,Mediterranean,Grappa,$$,Other,4,277,,,
,Coffee & Tea,Gravity Coffee - Federal Way North,$,Other,4,52,"33510 Pacific Hwy S, Federal Way, WA 98003",,
,Italian,Grazie Ristorante Italiano,$$,Other,4,428,"23207 Bothell Everett Hwy, Bothell, WA 98021",47.7869696,-122.2188368
,Chinese,Great China Restaurant,$$,Other,4,263,"13501 100th Ave NE, Kirkland, WA 98034",47.7211057,-122.2083459
,Thai,Greatest Thai Restaurant,$$,Other,4,65,,,
,Mongolian,Green Iron Mongolian Grill,n/a,Hidden Gem,5,1,,,
Greenwood,Vietnamese,Green Tree,$$,Other,4.5,108,"8576 Greenwood Ave N, Seattle, WA 98103",,
,Chinese,Green Valley Restaurant & Hanapaa Poke,$$,Other,4.5,157,"21226 84th Ave S, Kent, WA 98032",47.410942,-122.2273879
Greenwood,Burgers,Greenwood Flame Burger,n/a,Other,4,31,,,
,"Beer, Wine & Spirits",Grill In The Woods,n/a,Hidden Gem,4.5,3,"29925 207th Ave SE, Covington, WA 98042",47.3297726,-122.0654176
,French,Grouchy Chef,$$,Other,4.5,298,"4433 Russell Rd, Ste 113, Mukilteo, WA 98275",47.8949675,-122.2928139
Haller Lake,Mexican,Grumpy’s Food Truck,$,Other,4.5,116,,,
,Mediterranean,Gyro Boss,n/a,Hidden Gem,5,53,"17171 Bothell Way NE, Unit 708-043, Lake Forest Park, WA 98155",47.7542576,-122.2794742
,Mediterranean,Gyro Crush,n/a,Hidden Gem,5,88,"16911 Hwy 99, Ste 103, Lynnwood, WA 98037",47.8452155,-122.2946228
,Greek,Gyro Delight,$,Other,4,197,"4029 196th St SW, Lynnwood, WA 98036",47.8213548,-122.2884441
,Mediterranean,Gyro Guys Halal Grill,n/a,Hidden Gem,4.5,82,,,
,Middle Eastern,Gyro Station,n/a,Hidden Gem,4.5,66,"512 Ramsay Way, Ste 106, Kent, WA 98032",47.3853024,-122.2349737
,Greek,Gyros 2 Go,$,Other,4,388,,,
,Greek,Gyros House,$,Other,4,156,"1945 S Commons, The Commons At Federal Way, Federal Way, WA 98003",,
,Barbeque,Gyu-Kaku Japanese BBQ,$$$,Other,4,613,"14506 NE 20th St, Ste 2, Bellevue, WA 98007",47.6281953,-122.1461463
,Korean,H Mart Restaurant,$,Other,3,28,,,
Downtown,Tapas/Small Plates,Habitant,$$,Hidden Gem,4.5,58,,,
,Coffee & Tea,Hachi-ko,$$,Other,4,15,"17801 International Blvd, Seattle, WA 98158",47.4482484,-122.3021252
,Korean,Hae Song Korean BBQ,$$,Other,3.5,146,"32703 Pacific Hwy S, Federal Way, WA 98003",,
,Barbeque,Haenam Kalbi & Calamari,$$,Other,4,297,"15001 Aurora Ave N, Shoreline, WA 98133",47.7379352,-122.3456253
Downtown,Hot Pot,Haidilao Hot Pot,$$$,Other,4.5,169,"600 Pine St, Ste 355, Seattle, WA 98101",47.6128391,-122.3351116
,Sushi Bars,Haiku Sushi & Seafood Buffet,$$,Other,3,529,,,
,American,Half Lion Public House,$$,Other,4,78,,,
,Japanese,Hana Teriyaki Restaurant,$,Other,3.5,108,,,
Fremont,Japanese,Hannyatou,n/a,Hidden Gem,5,32,"1060 N 39th St, Seattle, WA 98103",47.6540168,-122.3441987
Madison Park,Korean,Hanok,$$,Other,4.5,115,"4021 E Madison St, Seattle, WA 98112",47.6339403,-122.2803992
,Japanese,Happy At the Bay,$$,Other,4,106,,,
,Japanese,Happy Express,$$,Other,4.5,163,"530 W Main St, Auburn, WA 98001",,
,Mongolian,Happy Lamb Hot Pot,$$$,Other,4.5,145,"1411 156th Ave NE, Ste A, Bellevue, WA 98007",47.6231225,-122.1332569
,Bubble Tea,Happy Lemon,n/a,Other,3.5,77,"22001 Hwy 99 Foyer, Edmonds, WA 98026",,
,Japanese,Happy Teriyaki,$$,Other,4,167,"4910 Pacific Hwy E, Fife, WA 98424",,
Chinatown,Barbeque,Harbor City Restaurant,$$,Other,4,1779,"707 S King St, Seattle, WA 98104",47.5980922,-122.3233743
,Desserts,HardWok Cafe,$$,Other,3.5,308,"667 156th Ave SE, Bellevue, WA 98007",47.6043173,-122.1327314
Capitol Hill,American,Harry’s Fine Foods,$$,Other,4,178,,,
,American,Hearth Restaurant,$$,Other,3.5,93,"220 Kirkland Ave, Kirkland, WA 98033",47.6757411,-122.2039442
,Southern,Heaven Sent Fried Chicken,$$,Other,3.5,270,,,
,Desserts,Hello Banh Mi,$,Other,4,113,"14304 124th Ave NE, Kirkland, WA 98034",47.7300812,-122.1746784
Chinatown International District,Coffee Roasteries,Hello Em Viet Coffee & Roastery,$,Other,4.5,128,,,
,Hawaiian,Hello Poke,$$,Other,4,129,,,
Capitol Hill,Tapas/Small Plates,Herb & Bitter Public House,$$,Other,4,341,"516 Broadway E, Seattle, WA 98102",47.623619,-122.3206714
,Food Trucks,Here & There Grill,$$,Hidden Gem,4.5,59,"Edmonds, WA 98020",,
,Burgers,Herfy’s Burgers,$,Other,4,190,,,
,Burgers,Herfy’s Burgers,$,Other,4,59,,,
,American,Heritage Restaurant|Bar,$$,Other,4,314,"14450 Woodinville Redmond Rd NE, Ste 101B, Woodinville, WA 98072",47.7323902,-122.1409668
,Buffets,Hibachi Buffet,$$,Other,3.5,406,"440 16th NE St, Auburn, WA 98002",,
,Egyptian,Hibiscus Mediterranean & Egyptian Cuisine,$,Hidden Gem,4.5,52,"12095 124th Ave NE, Kirkland, WA 98034",47.7063344,-122.1787644
,Indian,Himalayan Cafe,$$,Other,4,480,,,
Haller Lake,Dim Sum,HK Dim Sum,$$,Other,3,432,"13200 Aurora Ave N, Ste F, Seattle, WA 98133",47.7248023,-122.3432746
,Bakeries,Hoffman’s Fine Cakes & Pastries,$,Other,4,224,,,
,Ramen,Hokkaido Ramen Santouka - Bellevue,$$,Other,4,830,"103 Bellevue Way NE, Bellevue, WA 98004",47.61139,-122.2019364
,Bars,Hollywood Tavern,$$,Other,4,662,"14501 Woodinville-Redmond Rd, Woodinville, WA 98072",47.7334726,-122.1532084
,Salad,Homegrown,$$,Other,4,256,,,
Beacon Hill,Mediterranean,Homer,n/a,Other,4.5,184,"3013 Beacon Ave S, Seattle, WA 98144",47.5766132,-122.3100525
,Coffee & Tea,Honey Bear Vietnamese Sandwich Banh Mi,$,Other,4.5,101,"1640 S 318th Pl, Ste A, Federal Way, WA 98003",,
First Hill,Bars,HoneyHole Sandwiches,$$,Other,4,1455,,,
,Delis,Hong Kong Market,$,Other,4,43,,,
,Ramen,Hong Noodle,$$,Other,4,80,,,
,Burgers,Hops n Drops,$$,Other,4,329,"19702 Hwy 99, Lynnwood, WA 98036",47.820228,-122.3163831
,Korean,Hosoonyi Korean Restaurant,$$,Other,4,522,"23830 Hwy 99, Ste 114, Edmonds, WA 98026",47.7828306,-122.3448
,Vietnamese,Hot Pho,$,Other,4,44,"21222 84th Ave S, Kent, WA 98032",47.4111302,-122.2273315
,Hot Pot,Hotpot World Rotary,$$,Other,3.5,120,"2020 S 320th St, Ste G, Federal Way, WA 98003",,
,Chinese,House Teriyaki Wok,$,Other,3.5,90,"35002 Pacific Hwy S, Ste A-104, Federal Way, WA 98003",,
Queen Anne,Italian,How To Cook a Wolf,$$$,Other,4,956,"2208 Queen Anne Ave N, Seattle, WA 98109",47.6387234,-122.3566423
,Desserts,Hui Lau Shan,$,Other,4,73,"298 106th Ave NE, Bellevue, WA 98004",47.6127425,-122.1986127
,Hot Pot,Huo Yan Hot Pot,$$,Other,4,42,,,
,Hot Pot,HuoYan Hot Pot Restaurant,$$,Other,3.5,108,,,
,Japanese Curry,Hurry Curry of Tokyo - Bellevue,n/a,Other,3.5,48,"15015 Main St, Ste 114, Bellevue, WA 98007",47.6082175,-122.1412834
,Korean,Hyang Mi,$,Other,4,11,,,
,Ramen,I Love Ramen,$$,Other,3.5,205,,,
,Sushi Bars,I Love Sushi on Lake Bellevue,$$,Other,4,531,"23 Lake Bellevue Dr, Bellevue, WA 98005",47.6191309,-122.1818068
,Korean,I Luv Tofu & More,n/a,Other,3,16,,,
,Japanese,Ichi Bento,$,Other,4,190,,,
Bitter Lake,Sushi Bars,Ichi Roll Wok & Teriyaki,$$,Other,4,109,"306 N 125th St, Seattle, WA 98133",,
,Japanese,Ichi Teriyaki,$,Other,3.5,89,,,
Mount Baker,French,iconiq,$$$,Other,4.5,110,"1421 31st Ave S, Seattle, WA 98144",47.5896889,-122.2927737
,Breakfast & Brunch,IHOP,n/a,Other,3.5,6,"24060 104th Ave SE, Kent, WA 98031",47.3853313,-122.2018438
,Breakfast & Brunch,IHOP,$$,Other,2.5,126,"178 SW Campus Dr, Federal Way, WA 98023",,
