Area,Category - Split 1,Name,Price,Hidden Gem,Star,Stars count,Address,Latitude,Longitude
,Mexican,Antojitos Locos,n/a,Other,4,1,,,
,Mexican,Antojitos Michalisco,$,Hidden Gem,4.5,42,"801 C St SW, Auburn, WA 98001",47.300666,-122.2328485
,Mexican,Antojitos Toxicos,n/a,Hidden Gem,5,9,"12637 NE Woodinville Dr, Woodinville, WA 98072",47.7529995,-122.170403
,American,Applebee’s Grill + Bar,$$,Other,2.5,206,,,
,Asian Fusion,Apsara Palace Restaurant,n/a,Hidden Gem,4.5,34,"9808 14th Ave SW, Seattle, WA 98106",47.5151912,-122.3526203
Interbay,Seafood,AQUA by El Gaucho,$$$$,Other,4,965,"2801 Alaskan Way, Pier 70, Seattle, WA 98121",47.6147925,-122.3557822
,Cafes,Arabisk Cafe,n/a,Hidden Gem,5,1,,,
,Ramen,Arashi Ramen,$$,Other,4,849,"17045 Southcenter Pkwy, Tukwila, WA 98188",47.4500215,-122.2629061
,Thai,Araya’s Place,$$,Other,4,390,,,
,American,Archer’s Kitchen + Bar,n/a,Hidden Gem,4.5,10,,,
Hillman City,Filipino,Archipelago,$$$$,Hidden Gem,5,36,"5607 Rainier Ave S, Seattle, WA 98118",47.5516958,-122.2782501
,Bakeries,Aria Food & Bakery,$$,Other,4,93,"12033 124th Ave NE, Kirkland, WA 98034",47.706237,-122.1767284
,Seafood,Arnies Restaurant,$$,Other,3.5,490,"300 Admiral Way, Ste 211, Edmonds, WA 98020",,
South Lake Union,Cocktail Bars,Art Marble 21,$$,Other,3.5,376,,,
Fremont,American,Art of The Table,$$$$,Other,4,672,"3801 Stone Way N, Seattle, WA 98103",47.6531653,-122.3430599
Ballard,Mexican,Asadero Ballard,$$,Other,4.5,751,"5405 Leary Ave NW, Seattle, WA 98107",47.6668912,-122.3827705
,Mexican,Asadero Sinaloa,$$$,Other,4.5,1160,"310 Washington Ave N, Kent, WA 98032",47.3833096,-122.2468168
,Sushi Bars,Ascend Prime Steak & Sushi,$$$$,Other,4,838,"10400 NE 4th St, Ste 3100, Bellevue, WA 98004",47.6142129,-122.2007712
,Japanese,Ashiya,$$,Other,4.5,271,"1233 164th St SW, Ste M, Lynnwood, WA 98087",47.8504388,-122.2509051
,Asian Fusion,Asian Pho,$,Hidden Gem,4.5,12,"23830 Hwy 99, Edmonds, WA 98026",,
,Japanese,Asiana Bistro Teriyaki,$,Other,4,149,,,
,Japanese,Asiana Teriyaki,$,Other,4,46,,,
,Pizza,Astoria Pizza & Pasta,$$,Other,4.5,208,"4629 168th St SW, Lynnwood, WA 98037",47.8470177,-122.2961141
,Bars,Aurora Borealis,$$,Other,4,94,"16708 Aurora Ave N, Shoreline, WA 98133",47.7507202,-122.3449413
Phinney Ridge,Modern European,Autumn Seattle,n/a,Hidden Gem,4.5,14,"6726 Greenwood Ave N, Seattle, WA 98103",47.6785042,-122.3550703
,Pizza,Avanti Pizza & Pasta,$$,Other,3.5,209,,,
,Mexican,Azteca Mexican Restaurant,n/a,Other,2.5,13,"2020 S 320th St, Ste L, Federal Way, WA 98003",,
Madison Valley,Japanese,Azuki Handmade Japanese Udon Noodles,$$,Other,4.5,101,"2711 E Madison St, Seattle, WA 98112",47.6227507,-122.2969042
,Mexican,Azul Restaurant & Lounge,$$,Other,4,815,,,
,Thai,B Thai,$$,Other,4,109,"7528 196th St SW, Lynnwood, WA 98036",47.821072,-122.3353481
,Cocktail Bars,B-Bar,n/a,Hidden Gem,4.5,9,,,
,Coffee & Tea,B&R Espresso Bar,$,Other,4,60,,,
